"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"U1";"ADS1241";1;"ADS1241";;;
2;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
3;"Y1";"Crystal-4Mhz-TH-Wurth-830027298B";1;"Crystal";;;
4;"J3,J5,J4,J2";"TermBlock_1x04_P3.50mm Wurth_691412120004B";4;"691412120004B";;;
5;"C7,C1,C2,C3,C4,C5,C6,C8";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";8;"10nF";;;
6;"C9,C10,C16";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"100nF";;;
7;"C14,C15";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"18pF";;;
8;"Q1";"SOT-23";1;"IRLML6244";;;
9;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1M";;;
10;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"560k";;;
11;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100k";;;
12;"R6,R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10K";;;
13;"U2";"DFN250X250X100-9N";1;"SHT30-DIS-B";;;
14;"J10";"694103107102";1;"694103107102";;;
15;"J1";"SAMTEC_SSW-120-01-X-S";1;"SSW-120-01-X-S";;;
16;"J6";"SAMTEC_SSW-120-01-X-S";1;"SSW-120-01-X-S";;;
17;"U3";"SOT230P700X180-4N";1;"LDL1117S50R";;;
18;"GND,12V";"TestPoint_Pad_4.0x4.0mm";2;"TestPoint";;;
